country_name,region,forest_1990,forest_2016,forest_area_change,pct_change,land_1990,land_2016
Dominican Republic,Latin America & Caribbean,11050,20161.99951,9111.99951,82.4615340271493,48310.0009,48310.0009
Uruguay,Latin America & Caribbean,7977.999878,18677.3999,10699.400022,134.111308418348,175020.0011,175020.0011
Cuba,Latin America & Caribbean,20580,32536.00098,11956.00098,63.2323533570121,107399.9962,104019.9944
Gabon,Sub-Saharan Africa,220000,232000,12000,5.45454545454546,257670.0091,257670.0091
Lao PDR,East Asia & Pacific,176449.0039,189505.8008,13056.7969,7.39975665002889,230800.0023,230800.0023
"Iran, Islamic Rep.",Middle East & North Africa,90760.5957,106919.8047,16159.209,17.8042121422524,1628759.9874,1628759.9874
Philippines,East Asia & Pacific,65550,82800,17250,26.3157894736842,298169.9945,298169.9945
Italy,Europe & Central Asia,75900,93507.99805,17607.99805,23.1863704943047,294109.9882,294140.0063
Turkey,Europe & Central Asia,96220,118174.0039,21954.0039,22.8164663271669,769629.9996,769629.9996
Thailand,East Asia & Pacific,140050,164290,24240,17.3081042484827,510890.0097,510890.0097
France,Europe & Central Asia,144360,171020,26660,18.4696696576618,547566.0155,547557.0023
Chile,Latin America & Caribbean,152630,180358.0078,27728.0078,18.1668137325558,743532.02,743532.02
Spain,Europe & Central Asia,138094.9023,184520,46425.0977,33.5850941611363,499440.0082,499563.9915
Vietnam,East Asia & Pacific,93630,149020,55390,67.0734376802882,325489.9879,310070.0085
Russian Federation,Europe & Central Asia,8089500,8148895,59395,0.814678484068507,16389949.9918,16376869.9997
India,South Asia,639390,708603.9844,69213.9844,10.8250026431442,2973190.0079,2973190.0079
United States,North America,3024500,3103700,79200,2.74807401644321,9158959.9941,9147419.9901
China,East Asia & Pacific,1571405.938,2098635,527229.062,33.5519924229726,9388250.0005,9388210.0109
